#{"t_start": 1712314812.571286, "env_id": "None"}
r,l,t
-0.054797,252,21.47124
0.051247,252,39.836022
0.052151,252,58.461644
0.047542,252,77.593523
0.031358,252,96.778745
0.052366,252,116.260661
0.038866,252,135.25813
0.043627,252,153.96501
0.03399,252,173.532732
0.026275,252,195.575114
0.030988,252,215.002133
0.023602,252,233.596312
0.007424,252,252.141258
0.012706,252,271.584556
0.022885,252,290.905597
0.032461,252,309.712928
0.037139,252,329.25318
0.035358,252,348.743163
0.039848,252,368.442865
0.039755,252,387.391545
0.041836,252,405.705384
0.040743,252,423.945052
0.050613,252,440.883544
0.041082,252,456.096435
0.045599,252,471.181489
0.03878,252,485.859725
0.052991,252,501.273243
0.040601,252,516.228493
0.045739,252,532.228377
0.034277,252,551.324433
0.045795,252,570.585301
0.049717,252,588.295112
0.053081,252,604.426146
0.053265,252,619.016892
0.056958,252,634.56162
0.057421,252,649.494438
0.057912,252,664.624261
0.059301,252,679.735367
0.055702,252,695.059637
0.051206,252,710.074934
0.045729,252,725.302613
0.053408,252,740.531123
0.050934,252,756.049612
0.056616,252,771.360068
0.06062,252,786.818315
0.062363,252,801.951483
0.057023,252,817.569235
0.061544,252,833.043256
0.06249,252,848.389904
0.05705,252,863.405403
0.054926,252,877.898509
0.054777,252,892.953497
0.060928,252,908.23614
0.058219,252,923.280392
0.055561,252,938.483066
0.05752,252,953.489739
0.062625,252,970.178404
0.06128,252,986.902609
0.067271,252,1002.523335
0.065621,252,1017.863092
0.063253,252,1032.600308
0.060057,252,1047.946501
0.062342,252,1063.302603
0.062385,252,1078.135123
0.059953,252,1093.241879
0.06006,252,1107.938934
0.059657,252,1123.668783
0.05413,252,1139.551609
0.055574,252,1155.022585
0.054586,252,1171.322633
0.058072,252,1186.898184
0.056791,252,1202.264032
0.056902,252,1217.553514
0.057701,252,1232.706891
0.051977,252,1247.966593
0.056616,252,1262.623874
0.052625,252,1278.258729
0.05954,252,1293.547668
0.057008,252,1308.617353
0.058242,252,1326.627284
0.055619,252,1345.635275
0.053801,252,1365.258402
0.050482,252,1384.141779
0.050956,252,1402.524222
0.050212,252,1422.346151
0.049187,252,1441.835314
0.049856,252,1461.004546
0.049596,252,1480.851622
0.047659,252,1500.077859
0.044124,252,1518.851946
0.051225,252,1534.485223
0.050858,252,1549.885334
0.049522,252,1565.17355
0.050546,252,1582.073684
0.043461,252,1598.186019
0.043893,252,1613.126763
0.044287,252,1628.944936
0.047988,252,1644.525146
0.044305,252,1660.918853
0.045124,252,1675.883985
0.048963,252,1690.55372
0.045039,252,1706.528564
0.050895,252,1722.185655
0.043882,252,1736.869728
0.049219,252,1752.887439
0.044986,252,1767.642616
0.045671,252,1782.525509
0.044477,252,1797.444386
0.0457,252,1812.805773
0.036314,252,1828.570318
0.036388,252,1843.425408
0.032319,252,1858.326692
0.034663,252,1873.726422
0.041405,252,1888.537045
0.03704,252,1903.533872
0.034223,252,1918.38024
0.035119,252,1933.161216
0.037087,252,1948.592223
0.034452,252,1963.24159
0.032539,252,1978.067408
0.03501,252,1992.34954
0.03468,252,2006.576849
0.036411,252,2021.662254
0.033708,252,2036.814848
0.034058,252,2051.131526
0.035365,252,2064.741151
0.036203,252,2079.591043
0.035144,252,2096.718366
0.032313,252,2114.687969
0.036912,252,2133.023657
0.036793,252,2151.339288
0.037166,252,2168.540489
0.034232,252,2186.955045
0.036294,252,2204.884233
0.036182,252,2222.832032
0.038475,252,2236.93709
0.040825,252,2254.116972
0.040239,252,2271.927482
0.041431,252,2289.852039
0.046652,252,2308.066333
0.049478,252,2325.673806
0.051724,252,2343.019852
0.048551,252,2359.996519
0.049073,252,2374.812315
0.050685,252,2388.974866
0.048967,252,2403.844534
0.046606,252,2418.315269
0.045017,252,2432.39017
0.047876,252,2446.845789
0.047945,252,2461.427876
0.050301,252,2475.888188
0.049777,252,2490.176735
0.049548,252,2505.515774
0.051111,252,2522.192709
0.050539,252,2539.496262
0.050508,252,2557.062716
0.050028,252,2574.479989
0.051769,252,2591.921478
0.050797,252,2610.619817
0.046692,252,2629.028736
0.046333,252,2647.825814
0.045932,252,2666.709696
0.045366,252,2685.240564
0.044315,252,2704.541521
0.042336,252,2722.344045
0.040382,252,2740.295614
0.043079,252,2757.702585
0.042004,252,2774.781147
0.041029,252,2793.219691
0.041709,252,2811.791935
0.040565,252,2829.298614
0.041949,252,2847.911151
0.043485,252,2865.142469
0.044949,252,2882.601834
0.044045,252,2900.890909
0.043846,252,2919.179587
