#{"t_start": 1712938414.3394306, "env_id": "None"}
r,l,t
0.092751,252,21.788014
0.079426,252,42.01839500.088547,252,62.94162600.079361,252,83.62963700.085907,252,105.01306200.113877,252,126.41511200.117573,252,147.8552050.0.11219,252,169.18882300.102223,252,189.95183
0.110712,252,210.197064
0.104659,252,230.75366
0.095176,252,252.588609
0.09017,252,273.656702
0.078147,252,294.516399
0.081401,252,315.178118
0.072243,252,335.803405
0.085167,252,356.226253
0.088059,252,377.341804
0.084195,252,398.427541
0.080647,252,419.425605
0.084937,252,440.44627
0.088088,252,461.451487
0.081703,252,479.560717
0.079505,252,496.703083
0.076799,252,513.55355
0.066113,252,531.352699
0.066231,252,549.776265
0.066831,252,566.840459
0.065381,252,584.70503
0.057628,252,604.56218
0.058353,252,624.681237
0.061422,252,645.342479
0.059365,252,666.400204
0.057379,252,687.327395
0.050427,252,708.705453
0.051405,252,729.287831
0.046679,252,750.497827
0.044634,252,771.168406
0.047886,252,791.739503
0.049757,252,812.612775
0.048415,252,833.993709
0.048079,252,854.685531
0.053219,252,874.954479
0.058795,252,895.147803
0.057398,252,916.467277
0.059514,252,936.571373
0.058532,252,957.407548
0.064074,252,978.737791
0.067876,252,999.407789
0.067828,252,1019.47594
0.070746,252,1039.350816
0.065951,252,1059.608948
0.066836,252,1080.047142
0.064004,252,1101.563035
0.062306,252,1122.729605
0.064509,252,1143.184649
0.069096,252,1161.99502
0.070801,252,1180.454458
0.074352,252,1197.94247
0.07393,252,1216.57513
0.072016,252,1235.043882
0.078228,252,1252.046849
0.084217,252,1270.983254
0.083315,252,1291.543475
0.084628,252,1312.771844
0.08383,252,1333.608698
0.080364,252,1354.581856
0.078533,252,1375.907625
0.080753,252,1397.285977
0.079687,252,1417.483579
0.077757,252,1438.931783
0.075388,252,1459.898461
0.074491,252,1481.287605
0.074065,252,1502.051101
0.058131,252,1523.869456
0.057593,252,1544.435874
0.055271,252,1565.353043
0.051621,252,1586.388639
0.05821,252,1607.243208
