#{"t_start": 1712508233.7895727, "env_id": "None"}
r,l,t
0.159699,252,20.69197
0.157003,252,40.074588
0.156064,252,60.171997
0.160091,252,80.012805
0.16423,252,99.222593
0.158417,252,118.871046
0.161629,252,138.138947
0.161943,252,157.164297
0.162652,252,173.242751
0.160462,252,189.017089
0.156213,252,204.35622
0.149761,252,221.547607
0.151589,252,241.696731
0.160956,252,261.717084
0.161251,252,281.585368
0.167513,252,301.253023
0.170489,252,320.231071
0.173058,252,339.036386
0.169592,252,359.193398
0.166703,252,378.862767
0.169768,252,397.911939
0.168979,252,418.168298
0.170986,252,438.014431
0.171855,252,457.64005
0.17305,252,477.686738
0.174219,252,496.674101
0.176454,252,516.003305
0.173479,252,535.540677
0.17108,252,554.689721
0.17291,252,573.985327
0.172828,252,592.755555
0.172504,252,608.339721
0.173328,252,624.059348
0.17846,252,643.553963
0.180628,252,662.163772
0.17736,252,682.711646
0.181749,252,702.827515
0.187248,252,722.882444
0.190345,252,741.344833
0.188687,252,760.371562
0.190889,252,776.865894
0.19239,252,794.69079
0.188882,252,811.495154
0.183726,252,828.084902
0.184766,252,846.619022
0.185518,252,864.213807
0.183128,252,880.947212
0.18345,252,897.965448
0.18249,252,916.866936
0.181549,252,935.365964
0.184786,252,954.244126
0.185146,252,973.231458
0.187075,252,991.902802
0.187791,252,1010.009752
0.188196,252,1028.207234
0.189003,252,1047.577568
0.186593,252,1066.966427
0.18579,252,1086.568524
0.183368,252,1105.77393
0.185528,252,1125.068446
0.183491,252,1143.564821
0.173309,252,1162.646199
0.173225,252,1182.180142
0.175095,252,1201.499782
0.176257,252,1221.060172
0.17909,252,1240.418743
0.176713,252,1259.021209
0.178672,252,1277.973175
0.175586,252,1296.59468
0.178018,252,1316.498826
0.173982,252,1336.205913
0.175175,252,1354.950043
0.173922,252,1373.228775
0.174528,252,1390.548785
0.177512,252,1408.658026
0.179128,252,1426.744263
0.179448,252,1445.365676
0.17806,252,1461.615796
0.175222,252,1476.231092
0.177854,252,1491.00585
0.178623,252,1505.71011
0.178063,252,1521.240474
0.179305,252,1536.028419
0.177608,252,1553.044891
0.179581,252,1572.116263
0.17792,252,1590.573018
0.177066,252,1609.750082
0.176016,252,1626.402188
0.176173,252,1644.733524
0.175735,252,1662.330081
0.178065,252,1679.338763
0.176311,252,1697.670971
0.176422,252,1716.057225
0.175441,252,1735.505404
0.174077,252,1755.052604
0.173679,252,1774.620105
0.172946,252,1793.493615
0.172499,252,1812.427028
0.173777,252,1830.255882
0.175448,252,1849.257815
0.173958,252,1868.197245
0.173854,252,1887.368315
0.172731,252,1906.99596
0.172474,252,1925.548175
0.173077,252,1944.702077
0.173199,252,1963.698279
0.173693,252,1982.953281
0.172244,252,1999.378311
0.170011,252,2014.552662
0.172325,252,2030.107654
0.171271,252,2044.877034
0.17232,252,2059.717597
0.171867,252,2076.228838
0.173041,252,2091.373575
0.175248,252,2107.043984
0.175168,252,2122.116369
0.175982,252,2137.088761
0.177273,252,2153.215304
0.174705,252,2171.665795
0.175823,252,2190.474764
0.174686,252,2210.159147
0.17543,252,2229.738339
0.175427,252,2248.691214
0.176152,252,2268.459967
0.177312,252,2286.62332
0.176348,252,2305.364729
0.176179,252,2325.189924
0.174001,252,2344.995897
0.174352,252,2364.711261
0.17395,252,2384.436752
0.176567,252,2403.806512
0.174129,252,2422.870881
0.174539,252,2441.978776
0.174701,252,2459.114334
0.174226,252,2477.069425
0.1726,252,2495.914795
0.172617,252,2514.359192
0.171971,252,2534.094821
0.17531,252,2553.380032
0.175646,252,2571.837922
0.173445,252,2590.206523
0.17349,252,2609.12693
0.173433,252,2628.22342
0.172079,252,2646.51155
0.172589,252,2664.587667
0.174664,252,2683.454907
0.175403,252,2700.702891
0.173229,252,2715.941735
0.171954,252,2731.513751
0.171003,252,2746.653453
0.1716,252,2761.7817
0.170072,252,2779.071501
0.171029,252,2796.518279
0.169981,252,2814.672329
0.170412,252,2833.358392
0.171027,252,2852.439255
0.170611,252,2871.710532
0.170883,252,2891.26006
0.170299,252,2910.353516
0.170295,252,2929.024497
0.171429,252,2947.672166
0.170613,252,2967.374764
0.17032,252,2986.517285
0.169414,252,3006.383211
0.169344,252,3024.673066
0.168355,252,3044.066859
0.169357,252,3062.525085
0.167874,252,3081.35684
0.168539,252,3100.547288
0.166833,252,3119.775385
0.167187,252,3139.956373
