#{"t_start": 1747655087.8467922, "env_id": "None"}
r,l,t
0.05233,1258,1428.286498
0.052464,1258,1433.05916
0.052054,1258,1437.39872
0.05291,1258,1444.830317
0.051893,1258,1449.063386
0.05272,1258,1453.600472
0.052496,1258,1460.826013
0.052142,1258,1465.217104
0.051996,1258,1470.354642
0.05254,1258,1478.556258
0.052339,1258,1483.087748
0.05204,1258,1486.922615
0.052751,1258,1494.896163
0.05223,1258,1499.258451
0.052552,1258,1503.017922
0.051901,1258,1511.177969
0.052061,1258,1515.968302
0.052322,1258,1520.548508
0.051479,1258,1529.360743
0.052188,1258,1534.198856
0.051886,1258,1538.286208
0.051965,1258,1546.473069
0.051411,1258,1551.189362
0.052045,1258,1555.059059
0.052044,1258,1563.052002
0.052896,1258,1567.439036
0.05071,1258,1571.255058
0.051336,1258,1579.809918
0.051835,1258,1585.123057
0.052686,1258,1589.195865
0.052613,1258,1597.186185
0.051914,1258,1601.779502
0.052004,1258,1605.741862
0.052171,1258,1613.554716
0.052408,1258,1617.863432
0.052233,1258,1621.834476
0.052023,1258,1630.132573
0.051512,1258,1635.100927
0.052037,1258,1639.027233
0.052372,1258,1647.437025
0.05163,1258,1652.152113
0.052205,1258,1655.952157
0.052481,1258,1664.231644
0.052266,1258,1668.764506
0.052547,1258,1672.97895
0.052342,1258,1681.114289
0.052481,1258,1685.779919
0.052154,1258,1689.808733
0.051329,1258,1697.978155
0.052583,1258,1702.760194
0.051878,1258,1706.819083
0.052171,1258,1715.144593
0.051996,1258,1719.762428
0.052692,1258,1724.019627
0.051839,1258,1732.451036
0.053133,1258,1737.405863
0.052576,1258,1741.251342
0.052414,1258,1749.213114
0.052629,1258,1753.614383
0.052511,1258,1757.549072
0.052476,1258,1765.488404
0.05218,1258,1770.08045
0.05246,1258,1774.054545
0.052006,1258,1781.984048
0.052359,1258,1786.575292
0.052991,1258,1790.39044
0.052556,1258,1798.649056
0.051983,1258,1803.206131
0.052243,1258,1807.100014
0.051914,1258,1814.950292
0.05241,1258,1819.654318
0.052513,1258,1826.744582
0.053663,1258,1831.650303
0.052071,1258,1836.468319
0.05268,1258,1843.972289
0.052943,1258,1848.917816
0.051488,1258,1853.64214
0.05289,1258,1860.7518
0.052522,1258,1865.397349
0.052035,1258,1869.61972
0.05215,1258,1877.283893
0.052375,1258,1882.439332
0.052647,1258,1887.058718
0.052483,1258,1894.367054
0.052399,1258,1898.84796
0.052207,1258,1903.190485
0.052898,1258,1910.201629
