#{"t_start": 1712328357.67922, "env_id": "None"}
r,l,t
480.034347,252,20.971466
0.038112,252,40.555936
0.028528,252,57.984761
0.024196,252,74.770214
0.021666,252,93.027288
0.004946,252,111.933204
0.008474,252,129.537522
0.011567,252,149.076418
0.006918,252,168.883465
-0.000835,252,188.332067
-0.002519,252,208.0599370-0.002188,252,226.8324920.0.006549,252,245.5833400.006854,252,263.09214200.005488,252,282.9975200.010596,252,302.49723800.00984,252,322.283089
0.005322,252,341.323193
0.001203,252,359.522219
0.004828,252,378.84929
0.005241,252,397.828961
0.010245,252,416.69332600.013042,252,436.43577600.015519,252,455.67382700.016578,252,475.70702500.015699,252,494.49917200.01564,252,513.35852700.017872,252,532.39790600.021774,252,551.02328600.017258,252,571.32328300.01868,252,590.288896
0.020325,252,609.504343
0.013331,252,627.995908
0.009852,252,646.769307
-0.010992,252,666.2767870-0.015191,252,686.4597120.-0.006902,252,705.95400.03-0.019106,252,725.0900.042-0.022724,252,743.460.0430-0.02449,252,761.40.04191-0.020172,252,780.0.034619-0.008971,252,8000.032261,-0.009065,252,810.02666,25-0.001498,252,0.017002,253-0.001845,2520.022703,253,0.003081,2520.023765,253-0.002248,2520.023306,253,0.006363,2520.020041,253,0.00864,252,0.013207,2530.004652,252,0.009811,2530.005654,252,0.010047,2530.009041,252,0.01109,253,-0.002632,2520.007176,253,10.002406,2520.007633,253,1-0.00664,250.005416,253,10-0.005354,20.007275,253,108-0.01146,20.008251,253,110-0.002075,0.008126,253,1126-0.0027610.010043,253,11450.0004990.008874,253,1164.0.007070.0091,253,1183.7350.0070.012898,253,1203.7100.0030.017964,253,1222.5840.0000.014243,253,1242.120.00370.01465,253,1261.7840.0040.012928,253,1280.5780.0060.013737,253,1300.7740.0060.014355,253,1320.8390.0080.01524,253,1338.92630.000.017848,253,1358.17120.000.013851,253,1377.41160.000.016931,253,1396.61990.000.017369,253,1415.79340.000.018716,253,1433.5300.0110.015114,253,1452.0940.0080.012673,253,1471.2110.0070.016163,253,1489.3940.000.020368,253,1509.44080.000.02113,253,1528.689500.00.025013,253,1546.696670.00.024722,253,1565.328940.00.02394,253,1583.9594410.0.025316,253,1603.4270850.0.024686,253,1622.9154890.0.023738,253,1642.1726620.0.028592,253,1661.55716-0.0.02455,253,1680.691224-00.023668,253,1700.055057-00.019826,253,1719.43327
0.021087,253,1737.896449
0.020741,253,1756.912637
0.019699,253,1775.913532
0.02205,253,1794.887534
0.023919,253,1813.316718
0.02474,253,1832.772069
0.019841,253,1851.769196
0.018516,253,1870.417512
0.019947,253,1888.940056
0.018377,253,1907.768317
0.017059,253,1926.936857
0.017363,253,1944.735891
0.018984,253,1963.772332
0.024218,253,1981.85456
0.024382,253,2000.783161
0.02322,253,2020.536544
0.023237,253,2040.223893
0.02276,253,2059.07787
0.02234,253,2078.301908
0.023482,253,2097.618781
0.025378,253,2117.201676
0.029215,253,2137.449985
0.032614,253,2155.779015
0.034391,253,2174.353453
0.038771,253,2193.087087
0.039924,253,2211.823019
0.045804,253,2230.872133
0.050191,253,2250.669497
0.049482,253,2270.100142
0.050716,253,2289.011326
0.047136,253,2308.114426
0.049077,253,2327.077291
0.046395,253,2346.831166
0.041907,253,2366.036668
0.045515,253,2384.741299
0.048662,253,2403.375674
0.050929,253,2421.827667
0.049159,253,2439.700969
0.04812,253,2458.041095
0.048062,253,2477.813768
0.04543,253,2496.800143
0.042516,253,2515.13
0.044535,253,2533.61517
0.040879,253,2552.481181
0.043277,253,2571.018666
0.040657,253,2590.672151
0.037952,253,2609.476126
0.037337,253,2626.530468
0.038059,253,2641.655464
0.040056,253,2656.592365
0.039147,253,2673.698387
0.036855,253,2691.864124
0.035682,253,2711.392136
0.033745,253,2730.381214
0.032979,253,2750.197747
0.033877,253,2768.56589
0.033862,253,2788.457953
0.033562,253,2807.96326
0.031824,253,2827.448113
0.031645,253,2845.626464
0.032843,253,2864.125439
0.03359,253,2882.705247
0.031676,253,2901.503643
0.03016,253,2920.029323
0.031219,253,2939.097707
0.031022,253,2957.561414
0.034209,253,2976.830384
0.034322,253,2996.075877
0.035603,253,3015.112304
0.034484,253,3033.970796
0.033153,253,3052.842365
0.032549,253,3071.673983
0.031189,253,3091.089189
0.03177,253,3110.694291
0.033322,253,3129.749454
0.034463,253,3148.136664
0.033218,253,3166.853449
0.03122,253,3185.290603
0.032057,253,3203.454506
0.033769,253,3222.613492
0.03134,253,3242.03968
0.028717,253,3260.079973
0.02876,253,3279.840314
0.030047,253,3298.900176
0.032888,253,3317.419053
0.031762,253,3336.027969
0.031155,253,3354.41717
0.030255,253,3372.451325
0.027454,253,3391.068753
0.027576,253,3410.055603
0.02784,253,3429.066039
0.026842,253,3448.005329
0.0279,253,3466.208106
0.027719,253,3484.340214
0.028849,253,3502.509955
0.026822,253,3521.381449
0.027907,253,3540.067053
0.027331,253,3559.133844
0.026754,253,3576.86266
0.0262,253,3595.172017
0.026205,253,3613.609044
0.025668,253,3632.692107
0.025735,253,3650.511965
0.025931,253,3669.319033
0.026041,253,3687.67927
0.026361,253,3705.980145
0.024471,253,3724.702804
0.024178,253,3744.478899
0.023074,253,3763.800393
0.021711,253,3783.265823
252,3684.631368
-0.037338,252,3702.920287
-0.037332,252,3721.656204
-0.036204,252,3741.487313
-0.037478,252,3760.754273
-0.037327,252,3780.213762
,3747.468958
0.795555,1258,3766.818855
0.795521,1258,3786.283051
75047
874.095356,1258,1222.592318
875.29335,1258,1227.867086
878.000799,1258,1236.548833
879.630741,1258,1242.209206
878.764952,1258,1247.554762
880.218265,1258,1256.373849
880.309361,1258,1261.780328
882.780036,1258,1266.636266
882.871309,1258,1275.219668
882.949376,1258,1281.002013
884.0144,1258,1286.664409
881.788192,1258,1295.591905
886.292985,1258,1301.297782
886.569592,1258,1306.78512
886.235199,1258,1315.451764
888.748172,1258,1320.691543
886.460022,1258,1325.93259
888.586959,1258,1333.666058
890.768125,1258,1339.101835
890.925733,1258,1344.767122
893.27288,1258,1353.051313
892.867677,1258,1358.511245
892.542534,1258,1364.062869
893.174739,1258,1372.26345
892.221391,1258,1377.460549
894.295694,1258,1382.948294
894.191716,1258,1391.484387
894.722098,1258,1396.958785
894.854334,1258,1402.62264
894.142274,1258,1410.838622
894.688548,1258,1415.73792
897.517205,1258,1420.532025
897.231992,1258,1428.768401
898.400689,1258,1434.466878
899.350841,1258,1439.973361
900.162515,1258,1447.95825
900.928414,1258,1453.019831
899.745178,1258,1458.596872
900.387788,1258,1467.099895
902.213447,1258,1472.41458
903.401718,1258,1477.572213
902.069592,1258,1485.329787
904.509063,1258,1491.201826
906.31733,1258,1496.954563
906.470193,1258,1505.557328
906.346146,1258,1511.33106
907.721461,1258,1516.544862
905.950202,1258,1524.840324
907.080413,1258,1529.986257
909.064378,1258,1535.0757
908.973081,1258,1542.781958
911.325731,1258,1547.971738
909.120164,1258,1553.438262
909.355977,1258,1561.744597
912.336342,1258,1566.948005
912.098641,1258,1572.049047
911.855365,1258,1580.3604
911.868896,1258,1585.961389
912.817357,1258,1591.582974
915.176947,1258,1599.951618
913.813711,1258,1605.224958
915.561269,1258,1610.13787
915.548329,1258,1619.932605
914.853955,1258,1625.054508
918.138759,1258,1629.600816
917.878357,1258,1639.159675
918.253561,1258,1644.268103
918.192252,1258,1649.104421
917.427773,1258,1658.204412
917.477516,1258,1663.559006
921.090378,1258,1668.451728
919.787456,1258,1677.735903
921.925558,1258,1683.231464
921.605315,1258,1688.016658
923.706926,1258,1697.130598
925.388225,1258,1702.534068
925.328646,1258,1707.38745
926.569844,1258,1716.382456
925.954592,1258,1721.507653
925.807034,1258,1726.189541
924.295427,1258,1734.759344
927.483293,1258,1740.295097
927.056611,1258,1744.694891
930.136258,1258,1754.038334
930.509057,1258,1759.321317
930.599152,1258,1763.932133
928.734513,1258,1773.046936
931.226456,1258,1777.890011
931.39947,1258,1782.751265
933.39557,1258,1792.133574
931.88687,1258,1797.396453
934.48635,1258,1801.785194
932.998119,1258,1810.611145
935.632191,1258,1816.429654
935.120305,1258,1821.208261
934.556098,1258,1830.577616
931.659033,1258,1835.796129
937.829897,1258,1840.276516
936.72225,1258,1848.905542
935.574451,1258,1853.936752
936.367141,1258,1858.731448
937.047289,1258,1867.706232
937.423738,1258,1873.005369
937.80451,1258,1877.505845
937.77522,1258,1886.60652
938.773916,1258,1892.247255
940.63181,1258,1896.64886
940.151696,1258,1906.052021
937.961114,1258,1911.631977
938.29089,1258,1916.260367
939.866809,1258,1925.134207
938.188708,1258,1930.328594
937.926401,1258,1934.524133
939.598573,1258,1943.475752
940.195739,1258,1949.228231
942.7574,1258,1953.597624
940.256285,1258,1962.308456
942.098807,1258,1967.002361
943.398249,1258,1971.631626
942.976202,1258,1980.566042
945.309163,1258,1985.750633
944.414455,1258,1994.286043
946.13265,1258,1999.64397
946.840973,1258,2005.416322
947.359277,1258,2014.156562
947.923238,1258,2019.674039
948.065918,1258,2025.31477
948.442335,1258,2034.007385
949.718606,1258,2039.698602
949.954824,1258,2044.675248
949.620706,1258,2052.834607
952.308181,1258,2058.339366
949.935328,1258,2063.428499
951.898108,1258,2072.124738
951.355791,1258,2077.523085
951.820605,1258,2083.003233
954.034314,1258,2091.572412
953.872903,1258,2096.922158
954.506829,1258,2102.553328
955.394626,1258,2111.31321
954.232992,1258,2116.680422
957.833526,1258,2122.524685
958.315357,1258,2131.608788
958.635003,1258,2136.81537
959.120603,1258,2142.061955
959.19262,1258,2149.839628
959.433291,1258,2155.504468
959.127492,1258,2160.634817
958.969408,1258,2168.71625
960.48579,1258,2173.670509
961.056875,1258,2178.591094
963.439578,1258,2187.3533
962.853579,1258,2192.705609
963.713556,1258,2197.805808
962.481715,1258,2206.083922
963.209891,1258,2211.108702
965.051738,1258,2216.849738
964.436518,1258,2225.335382
964.458075,1258,2231.19307
965.400065,1258,2236.918301
965.241792,1258,2245.415712
966.176006,1258,2251.087571
968.372404,1258,2256.15724
967.805576,1258,2264.766026
969.093592,1258,2270.418403
968.408285,1258,2275.414835
969.036751,1258,2283.601379
970.731724,1258,2289.115717
969.231611,1258,2294.730556
970.26291,1258,2302.857552
969.736466,1258,2308.515341
970.955291,1258,2313.824381
970.834734,1258,2321.828872
971.399649,1258,2327.230565
969.970605,1258,2333.001453
968.570856,1258,2341.726305
971.929344,1258,2347.372248
971.451474,1258,2352.948856
964.261367,1258,2361.062227
973.89768,1258,2366.530515
974.936717,1258,2371.531599
976.632034,1258,2379.899187
974.314594,1258,2385.366734
975.739719,1258,2390.982016
976.92458,1258,2398.921895
977.736241,1258,2403.905882
976.853445,1258,2408.645907
978.598118,1258,2417.803624
979.328506,1258,2422.451307
978.289363,1258,2426.927672
978.746843,1258,2435.510652
980.089303,1258,2440.583934
980.212589,1258,2445.391562
979.740413,1258,2454.427749
979.787657,1258,2460.278316
979.582955,1258,2464.802076
979.907138,1258,2473.99512
980.192163,1258,2479.337906
978.679782,1258,2483.863651
980.077906,1258,2492.69812
980.387268,1258,2498.017038
980.917798,1258,2502.913464
980.595901,1258,2511.119646
981.433013,1258,2516.388869
981.460266,1258,2520.978784
981.10254,1258,2530.15538
981.165768,1258,2535.261347
981.628296,1258,2539.805162
982.555356,1258,2548.713463
982.419766,1258,2554.00545
981.966311,1258,2558.857054
981.245986,1258,2567.452368
982.609398,1258,2573.3818
982.534711,1258,2578.199253
983.100161,1258,2586.97951
983.140596,1258,2592.460279
983.14343,1258,2597.145947
981.291501,1258,2605.851342
982.549781,1258,2611.110061
983.638551,1258,2614.831657
982.730306,1258,2622.696008
983.745413,1258,2626.562563
