#{"t_start": 1712328357.785062, "env_id": "None"}
r,l,t
40.034347,252,21.065958
0.038112,252,40.650438
0.028528,252,58.079179
0.024196,252,74.86443
0.021666,252,93.121804
0.004946,252,112.027645
0.008474,252,129.631927
0.011567,252,149.170832
0.006918,252,168.977687
-0.000835,252,188.4266430-0.002519,252,208.1545290.-0.002188,252,226.926830.00.006549,252,245.677570.00.006854,252,263.186430.00.005488,252,283.091720.00.010596,252,302.591640.00.00984,252,322.3776450.0.005322,252,341.4176080.0.001203,252,359.6168790.0.004828,252,378.9435320.0.005241,252,397.9233520.0.010245,252,416.7877980.0.013042,252,436.5301510.0.015519,252,455.7682870.0.016578,252,475.8014330.0.015699,252,494.5934820.0.01564,252,513.4531710.0.017872,252,532.4923140.0.021774,252,551.1178900.017258,252,571.41768200.01868,252,590.383477
0.020325,252,609.598767
0.013331,252,628.090151
0.009852,252,646.863418
