#{"t_start": 1747201104.2419455, "env_id": "None"}
r,l,t
0.116643,252,20.273147
0.117213,252,36.67453800.116612,252,52.58417100.115869,252,68.50489500.116199,252,84.62462300.11629,252,100.958088
0.116368,252,116.42628
0.116131,252,131.94171
0.115605,252,147.754302
0.115788,252,164.02145
0.1154,252,179.57588
0.115156,252,194.987736
0.116473,252,211.214217
0.11738,252,227.802987
0.116547,252,243.891325
0.115753,252,259.099067
0.116887,252,274.855391
0.115383,252,289.795132
0.115848,252,305.286072
0.115959,252,320.281525
0.116652,252,335.279518
0.115884,252,350.629078
0.117095,252,365.560136
0.118123,252,381.133116
0.118478,252,396.013624
0.118779,252,410.732831
0.119806,252,425.88088
0.119232,252,440.840348
0.119876,252,456.183917
0.118221,252,471.605596
0.117903,252,487.054298
0.116724,252,502.572468
0.117821,252,517.71663
0.117769,252,533.196961
0.118264,252,548.478235
0.118563,252,563.828457
0.119525,252,579.01014400.11939,252,593.693849
0.119839,252,609.063257
0.119662,252,624.04921900.120015,252,639.219270.00.120016,252,654.856460.00.120697,252,670.211140.00.119886,252,685.776760.00.119864,252,701.515420.0.120114,252,717.0951650.0.120523,252,732.3779500.120654,252,747.9713940.0.120793,252,763.5600660.0.121068,252,778.6826570.0.121729,252,793.59490.030.120844,252,809.21070.030.121488,252,824.45580.030.120232,252,840.33880.020.12022,252,856.498190.00.1195,252,872.13479100.119502,252,887.48212
0.119687,252,903.813467
0.119004,252,919.710107
0.119678,252,934.868673
0.119705,252,950.363251
0.119459,252,966.24473400.120052,252,981.60805500.120701,252,996.81472
0.120452,252,1012.137166
0.120635,252,1027.662152
0.120735,252,1043.75924
0.121193,252,1059.312467
0.121378,252,1074.501887
0.121415,252,1090.23268
0.121395,252,1105.831867
0.120903,252,1120.945045
0.120177,252,1136.838624
