#{"t_start": 1712324226.283865, "env_id": "None"}
r,l,t
0.013569,252,20.971602
0.015161,252,40.619175
0.02154,252,59.650776
0.018015,252,79.322752
0.020611,252,98.428367
0.03153,252,117.226756
0.028841,252,134.147054
0.027081,252,150.406071
0.024463,252,168.095842
0.030924,252,186.390811
0.028266,252,205.96286
0.039833,252,224.152104
0.034458,252,242.340429
0.039914,252,262.180302
0.041146,252,280.724654
0.040782,252,296.21896900.042348,252,311.66802800.042529,252,326.88666600.042542,252,342.2346120.0.043094,252,357.9024330.0.042119,252,374.8094650.0.043777,252,390.8995240.0.041836,252,408.4579300.041566,252,426.2156670.0.040268,252,442.8717880.0.042301,252,460.5515650.0.038217,252,479.6702500.039037,252,498.81416900.03464,252,517.35523200.036789,252,535.50964700.034699,252,555.40999900.037197,252,575.21397700.038758,252,595.15011
0.033945,252,615.11374200.036531,252,634.51529800.035635,252,653.86779500.036855,252,672.6768540.0.038746,252,692.3207940.0.035275,252,711.167640.00.032883,252,730.248550.00.041139,252,749.118070.00.040967,252,768.477250.00.041977,252,788.148980.00.040277,252,804.01730.060.041868,252,820.17340.060.042546,252,838.34740.070.041435,252,856.6800.0750.041341,252,871.7120.0850.040855,252,887.5150.0880.040956,252,903.4830.0880.039224,252,917.9570.0890.037963,252,936.830.09010.035156,252,955.600.08200.033141,252,974.990.08190.032514,252,995.170.08290.032932,252,1015.010.08570.031518,252,1034.940.08900.027654,252,1054.0.0931080.02597,252,1074.30.096010.023443,252,1093.90.098030.024561,252,1113.10.104540.022435,252,1132.10.104690.023169,252,1151.70.108120.02517,252,1171.290.10390.026996,252,1191.480.10010.026637,252,1211.230.09770.023394,252,1231.380.09760.02629,252,1251.7980.1090.03242,252,1269.75820.10.030729,252,1288.887850.10.030684,252,1308.336250.10.030308,252,1327.620670.10.025665,252,1347.514160.10.023425,252,1366.33850.110.020503,252,1385.68210.110.020785,252,1403.63820.120.020005,252,1423.23210.110.020044,252,1441.56200.110.019196,252,1461.02690.110.018633,252,1480.44380.110.015218,252,1499.74990.110.013151,252,1519.85230.110.015064,252,1539.44140.110.013665,252,1559.05740.110.013899,252,1578.410.11490.013229,252,1598.270.11280.013458,252,1618.0.1108260.011238,252,1638.0.1093730.008477,252,1657.0.11170.008485,252,1676.460.11160.007309,252,1696.90.115230.003991,252,1716.40.109290.00625,252,1735.560.10830.006057,252,1753.80.115160.002785,252,1772.80.117440.002229,252,1792.00.119120.003493,252,1811.30.118960.003976,252,1830.30.121860.00125,252,1849.340.11940.002042,252,1869.500.12000.00201,252,1888.8800.123-0.002627,252,1908.880.1254-0.001523,252,1928.80.12785-0.001138,252,1949.0.1279870.000781,252,1968.0.124255-0.001097,252,19880.120711-0.002544,252,2000.121118,2-0.002848,252,200.122425,25-0.002172,252,20.127074,253-0.00082,252,20.12912,253,-0.00149,252,0.128155,253,-0.003405,2520.12982,253,21-0.003583,20.126007,253,21-0.000851,0.12532,253,2171.0.000790.127674,253,2187.7-0.00090.129344,253,2203.22-0.0010.126574,253,2218.424-0.000.123654,253,2233.9227-0.00.125463,253,2253.85485-0.0.128572,253,2273.53242-0.0.124489,253,2291.800564-00.125892,253,2310.747815-0.12516,253,2330.341603
0.12315,253,2346.478602
0.122518,253,2361.064035
0.122363,253,2377.078677
0.123091,253,2392.190357
0.123017,253,2408.5072
0.122722,253,2425.415247
0.121962,253,2440.978098
0.121575,253,2456.851209
0.122812,253,2472.035436
0.123297,253,2487.278918
0.120713,253,2502.614634
0.126358,253,2517.845147
0.124455,253,2533.387219
0.126111,253,2548.852222
0.127022,253,2564.620435
0.128531,253,2579.665341
0.128029,253,2595.382969
0.127454,253,2610.752748
0.125889,253,2626.276965
0.125854,253,2641.64514
0.123892,253,2657.826074
0.121549,253,2675.584298
0.121847,253,2694.241934
0.123167,253,2713.405063
0.122923,253,2731.854245
0.120929,253,2749.994667
0.11959,253,2767.797827
0.116803,253,2785.548471
0.118783,253,2803.754292
0.117051,253,2823.117006
0.119658,253,2843.098589
0.120622,253,2862.971606
0.119958,253,2882.195518
0.118042,253,2901.457491
0.120418,253,2920.533931
0.121623,253,2939.977747
0.119746,253,2957.739567
0.117045,253,2973.392012
0.115826,253,2989.633326
0.116164,253,3004.777896
0.116835,253,3020.063056
0.118533,253,3035.298882
0.119019,253,3049.970506
0.119085,253,3065.617876
0.117818,253,3082.906335
0.118358,253,3101.640663
0.1196,253,3120.917449
0.120909,253,3139.750528
0.121107,253,3159.303536
0.121058,253,3178.585228
0.121976,253,3198.221178
0.122427,253,3217.426162
0.121134,253,3236.185215
0.119414,253,3255.494578
0.119575,253,3275.155392
0.120283,253,3294.119704
0.119303,253,3313.603424
0.119445,253,3332.921079
0.118897,253,3353.366168
0.118554,253,3373.174498
0.117179,253,3393.303679
0.116946,253,3413.345195
0.117503,253,3433.360993
0.116917,253,3452.656352
0.115352,253,3471.476549
0.115166,253,3491.009483
0.114645,253,3510.566315
0.115581,253,3529.76392
0.115731,253,3549.034286
0.116546,253,3566.889863
0.118257,253,3582.758471
0.117042,253,3598.164982
0.116651,253,3614.229234
0.116765,253,3630.166901
0.115917,253,3645.398481
0.115907,253,3661.113122
74,252,3611.091358
-0.01969,252,3627.209556
-0.019375,252,3642.322844
-0.018578,252,3658.078912
56124,1258,3617.212482
0.856963,1258,3633.072289
0.856859,1258,3648.430634
0.856962,1258,3664.13535
,1168.781745
935.986849,1258,1174.308564
932.485682,1258,1180.093155
933.763355,1258,1189.003838
932.247444,1258,1194.463143
940.261759,1258,1199.668154
941.718632,1258,1208.885051
946.775853,1258,1214.644619
945.571299,1258,1220.421521
948.880361,1258,1229.1603
945.063964,1258,1235.140959
953.813502,1258,1240.756693
949.280245,1258,1249.349415
947.593076,1258,1254.220116
942.270976,1258,1258.909911
845.61529,1258,1267.497512
852.203392,1258,1272.149252
850.220605,1258,1277.724343
822.026837,1258,1286.831141
833.285132,1258,1292.245031
844.315137,1258,1297.914928
854.78586,1258,1306.206276
848.90347,1258,1311.966715
856.302677,1258,1317.169201
859.327835,1258,1325.729703
868.128811,1258,1331.01792
878.174942,1258,1336.643427
885.736707,1258,1345.713347
882.599566,1258,1351.145612
894.501129,1258,1356.527211
900.251494,1258,1364.477952
903.761939,1258,1369.909482
910.591371,1258,1375.196372
914.407889,1258,1383.717783
916.533793,1258,1389.088335
919.724836,1258,1394.182849
924.363024,1258,1402.692683
928.94093,1258,1407.67393
932.486449,1258,1413.444392
940.55231,1258,1422.151377
936.663982,1258,1427.159138
934.13873,1258,1432.213555
936.926214,1258,1440.76433
938.544515,1258,1446.368819
939.441421,1258,1451.832675
942.146164,1258,1460.557721
946.254734,1258,1465.881613
939.52011,1258,1471.117797
945.866634,1258,1479.970236
947.458128,1258,1485.411904
950.806159,1258,1490.455061
956.370928,1258,1499.152847
957.536419,1258,1504.860462
955.713645,1258,1510.646161
955.487346,1258,1519.25015
959.034424,1258,1525.079088
956.853786,1258,1530.497241
954.635372,1258,1538.706562
959.132959,1258,1544.483421
959.606509,1258,1550.059581
966.663018,1258,1558.681594
963.797008,1258,1564.165458
963.051311,1258,1568.835388
961.34967,1258,1578.347423
963.048892,1258,1584.004935
965.806846,1258,1588.614366
968.422709,1258,1598.084226
966.137111,1258,1603.587903
968.577098,1258,1608.400519
968.879817,1258,1618.042903
968.381495,1258,1623.513962
966.250322,1258,1628.42036
970.604391,1258,1638.275676
972.791298,1258,1643.835077
973.799597,1258,1648.368369
976.829854,1258,1657.384192
975.438162,1258,1662.309389
978.080069,1258,1667.176133
975.449658,1258,1676.882095
973.206008,1258,1682.345304
976.03265,1258,1687.311391
976.775831,1258,1697.33987
973.142907,1258,1702.473107
977.239401,1258,1707.063332
979.819402,1258,1716.827983
976.671036,1258,1722.013393
977.338696,1258,1726.846311
977.903282,1258,1735.690325
980.080938,1258,1740.733682
978.293578,1258,1745.067927
976.152236,1258,1754.535531
976.637947,1258,1759.951992
978.535709,1258,1764.201246
982.556406,1258,1772.956659
980.473137,1258,1778.322536
982.751346,1258,1783.230401
987.93973,1258,1792.869345
985.313829,1258,1797.928031
984.601719,1258,1802.536347
986.591369,1258,1811.682621
984.509961,1258,1817.307887
989.239389,1258,1821.754604
990.070686,1258,1830.83667
989.080583,1258,1836.084659
990.476486,1258,1840.905811
991.571796,1258,1850.385598
986.860389,1258,1856.134756
992.298671,1258,1860.761237
992.363637,1258,1870.607158
994.810728,1258,1876.231952
993.125946,1258,1880.908803
995.285797,1258,1890.629199
996.488089,1258,1896.229062
995.546263,1258,1901.166418
997.288075,1258,1910.896682
997.030338,1258,1916.661657
998.29701,1258,1921.16879
995.38238,1258,1931.219234
999.308077,1258,1937.039048
999.868799,1258,1941.81861
1001.915796,1258,1951.042251
999.767793,1258,1956.13273
1000.342445,1258,1965.326421
999.374575,1258,1971.277369
1000.137375,1258,1976.932594
998.591229,1258,1985.567022
999.831268,1258,1991.21349
1002.112152,1258,1996.909743
1007.057154,1258,2005.997136
1004.13287,1258,2011.379043
1004.471563,1258,2017.278358
1001.666117,1258,2026.173065
1003.495994,1258,2032.130921
1008.108106,1258,2037.224252
1010.327509,1258,2046.07012
1005.356338,1258,2051.51873
1011.504578,1258,2057.182192
1011.124211,1258,2065.58821
1014.476527,1258,2071.207214
1011.592193,1258,2076.673885
1015.977747,1258,2085.791889
